id,nombre,columnas
59391_am,Series por sectores de actividad y componentes del coste,Agrupaciones Cnae;Componentes Del Coste;Tipo De Dato;Total Nacional;Conceptos Salariales/Laborales;Tipo de dato;Periodo;Año;Trimestre;Total
59392_am,Series por comunidad autónoma y componentes del coste,Agrupaciones Cnae;Componentes Del Coste;Tipo De Dato;Total Nacional;Conceptos Salariales/Laborales;Tipo de dato;Periodo;Año;Trimestre;Total
11221_am,Costes laborales por trabajador,Total Nacional;Corrección De Efectos;Componentes Del Coste;Tipo De Dato;Año Base;Tipo de dato;Periodo;Año;Trimestre;Total
11222_am,Costes laborales por hora efectiva de trabajo,Corrección De Efectos;Componentes Del Coste;Tipo De Dato;Total Nacional;Año Base;Tipo de dato;Periodo;Año;Trimestre;Total
6030_am,Coste laboral por trabajador por sectores de actividad,Agrupaciones Cnae;Componentes Del Coste;Estrato De Asalariados;Total Nacional;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6031_am,"Coste laboral por trabajador por tamaño del establecimiento, sectores de actividad",Agrupaciones Cnae;Componentes Del Coste;Estrato De Asalariados;Total Nacional;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6032_am,Coste laboral por trabajador por secciones de la CNAE-09,Agrupaciones Cnae;Componentes Del Coste;Estrato De Asalariados;Total Nacional;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6033_am,Coste laboral por trabajador por divisiones de la CNAE-09,Agrupaciones Cnae;Componentes Del Coste;Estrato De Asalariados;Total Nacional;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6034_am,Coste laboral por hora efectiva por sectores de actividad,Agrupaciones Cnae;Componentes Del Coste;Total Nacional;Conceptos Salariales/Laborales;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6035_am,"Coste laboral por hora efectiva por tamaño del establecimiento, sectores de actividad",Agrupaciones Cnae;Componentes Del Coste;Total Nacional;Conceptos Salariales/Laborales;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6036_am,Coste laboral por hora efectiva por secciones de la CNAE-09,Agrupaciones Cnae;Componentes Del Coste;Total Nacional;Conceptos Salariales/Laborales;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6037_am,Coste laboral por hora efectiva por divisiones de la CNAE-09,Agrupaciones Cnae;Componentes Del Coste;Total Nacional;Conceptos Salariales/Laborales;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6038_am,"Coste salarial por trabajador, tipo de jornada, sectores de actividad",Tipo De Jornada;Agrupaciones Cnae;Componentes Del Coste;Conceptos Salariales/Laborales;Total Nacional;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6039_am,"Coste salarial por trabajador, tipo de jornada, secciones de la CNAE-09",Tipo De Jornada;Agrupaciones Cnae;Componentes Del Coste;Conceptos Salariales/Laborales;Total Nacional;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6040_am,"Coste salarial por hora efectiva, tipo de jornada, sectores de actividad",Tipo De Jornada;Agrupaciones Cnae;Componentes Del Coste;Total Nacional;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6041_am,"Coste salarial por hora efectiva, tipo de jornada, secciones de la CNAE-09",Tipo De Jornada;Agrupaciones Cnae;Componentes Del Coste;Total Nacional;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6042_am,"Tiempo de trabajo por trabajador y mes, tipo de jornada, sectores de actividad",Agrupaciones Cnae;Tiempo De Trabajo;Total Nacional;Conceptos Salariales/Laborales;Tipo De Jornada;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6043_am,"Tiempo de trabajo por trabajador y mes, tipo de jornada, secciones de la CNAE-09",Agrupaciones Cnae;Tiempo De Trabajo;Total Nacional;Conceptos Salariales/Laborales;Tipo De Jornada;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6044_am,"Tiempo de trabajo por trabajador y mes, sectores de actividad",Agrupaciones Cnae;Tiempo De Trabajo;Total Nacional;Conceptos Salariales/Laborales;Tipo De Jornada;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6045_am,Tiempo de trabajo por trabajador y mes por secciones de la CNAE-09,Agrupaciones Cnae;Tiempo De Trabajo;Total Nacional;Conceptos Salariales/Laborales;Tipo De Jornada;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6046_am,Tiempo de trabajo por trabajador y mes por divisiones de la CNAE-09,Agrupaciones Cnae;Tiempo De Trabajo;Total Nacional;Conceptos Salariales/Laborales;Tipo De Jornada;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6047_am,Número de vacantes por sectores de actividad,Total Nacional;Agrupaciones Cnae;Tipo De Dato;Estrato De Asalariados;Tipo de dato;Periodo;Año;Trimestre;Total
6048_am,Número de vacantes por secciones de actividad,Total Nacional;Agrupaciones Cnae;Tipo De Dato;Estrato De Asalariados;Tipo de dato;Periodo;Año;Trimestre;Total
6049_am,Número de vacantes por tamaño del establecimiento,Total Nacional;Agrupaciones Cnae;Tipo De Dato;Estrato De Asalariados;Tipo de dato;Periodo;Año;Trimestre;Total
6053_am,Motivos por los que no existen vacantes por sectores de activdad,Total Nacional;Agrupaciones Cnae;Motivos Por Los Que No Exiten Puestos De Trabajo Vacantes;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6054_am,Motivos por los que no existen vacantes por secciones de actividad,Total Nacional;Agrupaciones Cnae;Motivos Por Los Que No Exiten Puestos De Trabajo Vacantes;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6055_am,Motivos por los que no existen vacantes por tamaño del establecimiento,Total Nacional;Agrupaciones Cnae;Motivos Por Los Que No Exiten Puestos De Trabajo Vacantes;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6056_am,"Percepciones por día de IT, coste indemnización por trabajador despedido por actividad económica",Agrupaciones Cnae;Conceptos Salariales/Laborales;Total Nacional;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6057_am,"Coste por hora extraordinaria, actividad económica",Agrupaciones Cnae;Conceptos Salariales/Laborales;Total Nacional;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6058_am,Coste por hora extraordinaria por comunidad autónoma,Conceptos Salariales/Laborales;Total Nacional;Agrupaciones Cnae;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6061_am,"Coste laboral por trabajador, comunidad autónoma, sectores de actividad",Total Nacional;Agrupaciones Cnae;Componentes Del Coste;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6062_am,"Coste laboral por hora efectiva, comunidad autónoma, sectores de actividad",Componentes Del Coste;Total Nacional;Agrupaciones Cnae;Conceptos Salariales/Laborales;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6063_am,"Tiempo de trabajo por trabajador y mes por comunidad autónoma, tipo de jornada, sectores de actividad",Agrupaciones Cnae;Tiempo De Trabajo;Total Nacional;Conceptos Salariales/Laborales;Tipo De Jornada;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
6064_am,Número de vacantes comunidad autónoma,Total Nacional;Agrupaciones Cnae;Tipo De Dato;Estrato De Asalariados;Tipo de dato;Periodo;Año;Trimestre;Total
6066_am,Motivos por los que no existen vacantes por comunidad autónoma,Total Nacional;Agrupaciones Cnae;Motivos Por Los Que No Exiten Puestos De Trabajo Vacantes;Estrato De Asalariados;Tipo De Dato;Tipo de dato;Periodo;Año;Trimestre;Total
